phone_number,email,credit_score,age_group,family_background,income,property_type,budget,preferred_location,comments,lead_intent
+91-9384193655,millerterri@example.com,697,36-50,Married,1442792,Plot,1136344,Chennai,Call me ASAP,1
+91-4177816551,warnercharles@example.org,481,36-50,Married,1590732,Commercial,1781693,Chennai,Just exploring,0
+91-7939746568,franciscoreid@example.net,733,36-50,Married with Kids,1893612,Plot,2132707,Jaipur,Please send details,1
+91-9864335118,shunter@example.org,724,36-50,Married with Kids,1414267,Villa,917525,Delhi,Budget issue,1
+91-6126870969,jill80@example.net,649,26-35,Married,1876806,Apartment,1195614,Noida,Call me ASAP,1
+91-7230710707,karen10@example.org,716,26-35,Married with Kids,347168,Villa,2867478,Mumbai,Just exploring,0
+91-6416350632,harveylisa@example.org,603,26-35,Married with Kids,969919,Commercial,2499774,Mumbai,Interested in investment,0
+91-1915263394,floreskelsey@example.com,780,26-35,Married with Kids,1932082,Villa,1098381,Jaipur,Budget issue,1
+91-4120145380,jessica57@example.com,628,26-35,Married with Kids,980544,Apartment,2809492,Bangalore,Call me ASAP,1
+91-6358479230,fevans@example.com,833,51+,Married with Kids,646457,Commercial,2754272,Ahmedabad,Visit after 2 weeks,1
+91-3199619032,brendawilliams@example.com,591,26-35,Married,952224,Plot,2540103,Bangalore,Finalizing options this week,1
+91-6054754528,ynguyen@example.com,524,26-35,Married with Kids,733197,Villa,2573936,Hyderabad,Please send details,0
+91-8156527614,vhernandez@example.com,513,26-35,Single,1432774,Apartment,814404,Mumbai,Urgent visit required,1
+91-5655284375,reginaldsmith@example.net,498,26-35,Married,659209,Commercial,757607,Pune,Interested in investment,1
+91-3888501524,brittanywhite@example.org,520,26-35,Married,1489604,Commercial,1610905,Delhi,Just exploring,0
+91-4365359076,vhernandez@example.org,643,18-25,Single,800477,Villa,2590277,Mumbai,Interested in investment,0
+91-4388085060,jmoore@example.com,764,36-50,Married with Kids,1595941,Plot,2208999,Hyderabad,Looking to move soon,1
+91-978132823,flawson@example.com,523,26-35,Married with Kids,1037422,Apartment,1455637,Delhi,Please send details,1
+91-3657581636,dcosta@example.com,725,26-35,Single,924475,Commercial,720954,Delhi,Please send details,1
+91-4129350848,bentonjanice@example.net,399,26-35,Married,1661109,Plot,1553206,Surat,Please send details,1
+91-1242627930,aprilsnyder@example.org,810,36-50,Married with Kids,1747024,Commercial,1486698,Delhi,Just exploring,1
+91-6083157218,fryecrystal@example.com,358,36-50,Married with Kids,1907851,Apartment,2430627,Noida,Immediate possession preferred,1
+91-7002768253,mcarr@example.org,422,36-50,Married,1672635,Villa,2070807,Chennai,Just exploring,0
+91-6569739704,jenny25@example.net,486,18-25,Single,1825645,Villa,2511796,Mumbai,Visit after 2 weeks,1
+91-8462935432,smithmitchell@example.org,636,26-35,Married,681479,Villa,2250385,Hyderabad,Please send details,0
+91-9990955573,reneeorr@example.net,821,26-35,Single,1193644,Apartment,2162071,Surat,Need loan info,1
+91-8471942713,angela95@example.net,793,36-50,Married,415499,Plot,2944541,Hyderabad,Call me ASAP,1
+91-9573167286,lisawright@example.net,456,36-50,Married,1924561,Apartment,2074956,Noida,Just exploring,0
+91-4378278018,cruzeddie@example.com,327,36-50,Single,1345136,Commercial,799386,Bangalore,Need loan info,1
+91-8939148379,uford@example.com,629,18-25,Married with Kids,777643,Villa,2589271,Ahmedabad,Just exploring,0
+91-4582409890,ywaters@example.com,379,26-35,Single,1724545,Apartment,1279907,Ahmedabad,Need loan info,1
+91-3057619958,melanie07@example.org,675,36-50,Married with Kids,865017,Villa,2036474,Surat,Just exploring,0
+91-9549143874,murphymallory@example.com,818,51+,Single,1168409,Villa,1852508,Ahmedabad,Please send details,1
+91-2413247225,sue75@example.net,676,26-35,Single,412510,Plot,1950542,Bangalore,Immediate possession preferred,0
+91-2598804887,jessica38@example.net,704,26-35,Married with Kids,579217,Commercial,767470,Bangalore,Need loan info,1
+91-1213140390,ahenderson@example.com,773,36-50,Married,1043353,Commercial,1833913,Pune,Need loan info,1
+91-1120934411,kennethjohnson@example.net,507,26-35,Married,931614,Plot,1594477,Surat,Call me ASAP,1
+91-7569337115,richardsonkimberly@example.org,652,36-50,Married,403387,Villa,2435733,Jaipur,Finalizing options this week,0
+91-9264151758,gblake@example.com,763,26-35,Married,617764,Commercial,1989593,Ahmedabad,Interested in investment,1
+91-6253228578,jasminechavez@example.org,573,26-35,Married,428056,Villa,2219365,Surat,Finalizing options this week,0
+91-2518913862,stephanie10@example.com,594,36-50,Married,1121046,Apartment,2273694,Pune,Please send details,0
+91-6668259384,donald68@example.org,744,26-35,Single,1398500,Commercial,1242311,Mumbai,Finalizing options this week,1
+91-6996030750,randall59@example.org,555,18-25,Single,838913,Plot,2379933,Delhi,Interested in investment,0
+91-7059298345,ariel90@example.net,815,18-25,Married,1479280,Plot,1162965,Bangalore,Looking to move soon,1
+91-8829847939,tylermcintosh@example.org,305,26-35,Married with Kids,1729151,Plot,965990,Jaipur,Please send details,1
+91-650987897,shelbyyoung@example.com,714,36-50,Married with Kids,678262,Plot,773847,Chennai,Call me ASAP,1
+91-8471047463,christopher51@example.com,354,18-25,Married with Kids,660112,Commercial,741688,Ahmedabad,Need loan info,1
+91-8856868736,zmay@example.net,607,26-35,Married with Kids,897868,Plot,2156178,Noida,Visit after 2 weeks,0
+91-9255585839,olsenshane@example.org,429,36-50,Married with Kids,464721,Apartment,2945351,Mumbai,Immediate possession preferred,0
+91-8025855300,johnnewman@example.net,548,18-25,Married with Kids,937858,Plot,1454963,Jaipur,Interested in investment,0
+91-104046463,timothywilliams@example.org,434,26-35,Married,389221,Apartment,755624,Mumbai,Urgent visit required,0
+91-4080073009,vincentmorris@example.net,750,18-25,Single,623520,Plot,1558225,Delhi,Visit after 2 weeks,1
+91-7173724981,dixonkeith@example.org,371,36-50,Married with Kids,1274832,Villa,553970,Hyderabad,Not now,0
+91-7289095273,williamsbrittany@example.org,417,36-50,Single,766832,Apartment,1877875,Mumbai,Just exploring,0
+91-9575655300,ssmith@example.org,580,18-25,Single,1868461,Commercial,1865606,Hyderabad,Need loan info,1
+91-5000111501,edwinsmith@example.net,452,18-25,Married,616949,Villa,2687004,Ahmedabad,Just exploring,0
+91-5503644761,william23@example.net,699,36-50,Single,1664323,Plot,2888995,Pune,Please send details,0
+91-5395673907,markgreen@example.org,531,18-25,Married with Kids,1386235,Apartment,1963645,Hyderabad,Call me ASAP,1
+91-7088683067,mjohnson@example.net,345,18-25,Single,548733,Villa,2118404,Delhi,Not now,0
+91-7602163695,jackwilliams@example.org,520,36-50,Single,1452147,Apartment,1831435,Pune,Budget issue,0
+91-3754807834,kathleenfitzgerald@example.com,689,36-50,Married,257281,Apartment,672850,Ahmedabad,Need loan info,0
+91-2895694146,michael03@example.net,431,51+,Married with Kids,546657,Commercial,1493354,Mumbai,Budget issue,0
+91-7918039124,williamcollins@example.org,301,51+,Married,1997180,Villa,2509030,Delhi,Urgent visit required,1
+91-3563049882,jamie65@example.com,592,36-50,Single,857428,Plot,1298162,Noida,Need loan info,0
+91-8522200751,samanthacastillo@example.net,716,26-35,Married,1773452,Apartment,2928369,Noida,Interested in investment,1
+91-1067378614,wilkersonmelissa@example.net,616,36-50,Married,1223702,Apartment,2285427,Surat,Call me ASAP,1
+91-4295008030,kjames@example.org,335,36-50,Married with Kids,404682,Plot,899404,Hyderabad,Urgent visit required,0
+91-417611141,jason36@example.net,649,26-35,Married,768030,Commercial,1378185,Chennai,Looking to move soon,1
+91-8059268380,ramirezdesiree@example.com,790,26-35,Married,1718726,Plot,2390162,Bangalore,Just exploring,1
+91-3309030458,turnerjose@example.org,687,26-35,Married,729493,Plot,1890757,Chennai,Urgent visit required,1
+91-3404889130,hthompson@example.org,553,26-35,Single,1016446,Villa,2112813,Ahmedabad,Not now,0
+91-3113031079,lkane@example.net,751,26-35,Married,435987,Apartment,1079256,Surat,Need loan info,0
+91-6689174542,andrew97@example.org,639,26-35,Married with Kids,260389,Plot,2825321,Bangalore,Just exploring,0
+91-658396389,sandersnicholas@example.org,762,36-50,Single,1300863,Plot,1410731,Noida,Just exploring,1
+91-6431384691,agutierrez@example.net,582,26-35,Married,1781274,Villa,2118658,Ahmedabad,Just exploring,0
+91-3854338496,chungnancy@example.net,742,26-35,Single,1430201,Apartment,1956285,Bangalore,Call me ASAP,1
+91-9799262542,rharris@example.org,423,26-35,Married,1119493,Apartment,1270490,Ahmedabad,Urgent visit required,1
+91-7177932148,jimmywest@example.org,709,18-25,Married with Kids,827834,Plot,2532942,Jaipur,Just exploring,0
+91-7975746608,tconner@example.net,847,26-35,Single,1728940,Plot,1606879,Jaipur,Urgent visit required,1
+91-4498095763,christopher57@example.com,392,51+,Married,1952108,Villa,851448,Surat,Looking to move soon,1
+91-2338999447,donna58@example.net,467,26-35,Single,1523643,Villa,577113,Jaipur,Finalizing options this week,1
+91-4920725544,richard96@example.com,794,26-35,Single,1133856,Plot,1288600,Delhi,Looking to move soon,1
+91-1256061186,alowe@example.com,687,26-35,Single,1081969,Villa,2394462,Hyderabad,Not now,0
+91-8424090524,guzmannicole@example.com,426,18-25,Married,1995779,Plot,810778,Mumbai,Looking to move soon,1
+91-8266605491,ihayes@example.net,573,26-35,Married with Kids,1071556,Apartment,2002654,Surat,Urgent visit required,1
+91-4478601763,carolfernandez@example.net,370,26-35,Married with Kids,1718228,Plot,2431879,Surat,Need loan info,1
+91-7272302214,colonnicole@example.net,461,36-50,Married with Kids,1726677,Apartment,1609769,Ahmedabad,Need loan info,1
+91-2336448202,johnstonjonathan@example.net,713,36-50,Married with Kids,1091609,Apartment,747244,Jaipur,Looking to move soon,1
+91-9297323858,gabriellafrench@example.com,330,36-50,Single,514113,Villa,902149,Surat,Need loan info,0
+91-4797140671,amy68@example.net,391,18-25,Married,650977,Commercial,2814730,Jaipur,Urgent visit required,1
+91-7814095579,barbarabrady@example.net,490,26-35,Married,1338517,Villa,1440647,Ahmedabad,Not now,0
+91-457098881,smoore@example.org,418,36-50,Married,1847893,Plot,2698098,Delhi,Not now,0
+91-3076063696,simpsonruth@example.net,738,18-25,Married,1325463,Commercial,2486829,Jaipur,Just exploring,0
+91-8375661256,katelynturner@example.org,610,26-35,Single,564943,Apartment,917933,Ahmedabad,Looking to move soon,0
+91-3498226612,smithkenneth@example.org,529,36-50,Single,1597896,Villa,1607223,Surat,Not now,0
+91-306386460,shaun16@example.com,632,18-25,Married,992316,Apartment,1162285,Ahmedabad,Interested in investment,1
+91-7136453451,wolfekevin@example.com,518,18-25,Married,1939741,Commercial,1729304,Surat,Immediate possession preferred,1
+91-1610251710,roy97@example.net,801,26-35,Single,1782021,Plot,739015,Jaipur,Need loan info,1
+91-8769785826,frowland@example.com,647,26-35,Single,348964,Apartment,1669940,Hyderabad,Just exploring,0
+91-1509667949,jackie68@example.org,409,26-35,Married with Kids,401837,Apartment,2384334,Jaipur,Urgent visit required,0
+91-8077269035,yvang@example.org,444,18-25,Married with Kids,1499623,Plot,2809243,Hyderabad,Please send details,0
+91-8430025478,wellsamy@example.org,833,36-50,Single,1526130,Plot,2593298,Mumbai,Need loan info,1
+91-9643874552,gibsonkaitlyn@example.org,336,26-35,Married,1636342,Villa,2410195,Mumbai,Need loan info,1
+91-2015540125,kyle73@example.net,401,26-35,Married,756673,Commercial,1514317,Delhi,Visit after 2 weeks,0
+91-1763544042,suttonbrittney@example.net,672,36-50,Married,1317278,Plot,2493754,Delhi,Interested in investment,0
+91-3353660389,ljones@example.com,671,18-25,Married with Kids,1541420,Commercial,864118,Mumbai,Looking to move soon,1
+91-9769938842,isolis@example.net,501,26-35,Single,802002,Villa,2880006,Noida,Immediate possession preferred,1
+91-3110977657,brenda87@example.org,360,26-35,Married with Kids,1195526,Villa,1160995,Mumbai,Need loan info,1
+91-8170151995,melissa04@example.net,728,36-50,Married,1081970,Villa,1524582,Noida,Just exploring,1
+91-5718386472,mcdanieltanya@example.org,578,51+,Married with Kids,1424032,Apartment,2175328,Pune,Not now,0
+91-5150194400,ywright@example.net,596,26-35,Married,388218,Plot,2278533,Surat,Immediate possession preferred,0
+91-3888706189,lwilliams@example.org,666,26-35,Married with Kids,281662,Commercial,1280458,Hyderabad,Interested in investment,0
+91-7926527167,jenniferstokes@example.org,841,36-50,Married with Kids,507952,Plot,1175707,Bangalore,Finalizing options this week,1
+91-436101202,davidirwin@example.net,647,26-35,Single,1429493,Villa,1963304,Ahmedabad,Finalizing options this week,1
+91-2417082009,ycrawford@example.net,592,18-25,Married with Kids,1537334,Plot,1987706,Noida,Urgent visit required,1
+91-1846721961,cynthia16@example.com,469,18-25,Married,1569703,Apartment,1820291,Ahmedabad,Call me ASAP,1
+91-4439007036,bgrant@example.org,730,51+,Married,1101161,Villa,2503805,Surat,Please send details,1
+91-279925964,natalie57@example.com,517,51+,Married,1320893,Plot,2075424,Hyderabad,Urgent visit required,1
+91-590675140,martinashley@example.net,459,36-50,Single,1124425,Apartment,1149265,Bangalore,Immediate possession preferred,1
+91-5139001591,angela71@example.net,335,26-35,Married with Kids,677615,Commercial,2825981,Jaipur,Not now,0
+91-9386694781,cwilson@example.org,724,26-35,Married,1129670,Villa,2165485,Delhi,Not now,0
+91-869504394,dean60@example.com,469,26-35,Married,572219,Villa,1222735,Surat,Immediate possession preferred,0
+91-8847606796,rodriguezelizabeth@example.net,586,18-25,Married with Kids,263984,Commercial,2355303,Delhi,Budget issue,0
+91-2278563058,nicole25@example.org,814,36-50,Single,1330474,Villa,1611270,Noida,Urgent visit required,1
+91-7991154686,jacobwells@example.com,843,26-35,Single,695979,Commercial,1068826,Hyderabad,Just exploring,0
+91-919649089,paulschultz@example.net,471,36-50,Married,918462,Commercial,1619780,Pune,Immediate possession preferred,1
+91-304592812,michaelathomas@example.org,325,51+,Single,1387705,Villa,2754837,Noida,Looking to move soon,1
+91-8901706660,johnmolina@example.net,585,51+,Married with Kids,1935227,Plot,793901,Delhi,Not now,0
+91-5422260735,goodwinbrad@example.com,574,18-25,Married with Kids,612890,Commercial,2510525,Pune,Need loan info,0
+91-7647756219,leejessica@example.com,483,18-25,Single,1095874,Plot,2510835,Delhi,Budget issue,0
+91-5973338427,kaitlynanderson@example.net,838,26-35,Single,822259,Commercial,1283493,Chennai,Need loan info,1
+91-2728783673,carolroberts@example.org,568,51+,Married,1311355,Apartment,874178,Ahmedabad,Immediate possession preferred,1
+91-4427741963,hoffmanjanet@example.org,592,26-35,Married with Kids,506644,Apartment,2105772,Ahmedabad,Immediate possession preferred,0
+91-4466545009,phillip75@example.com,351,18-25,Married,632517,Villa,880880,Delhi,Please send details,1
+91-6894693258,melissa78@example.com,605,18-25,Married,409476,Plot,1427273,Mumbai,Just exploring,0
+91-2465260174,srogers@example.com,317,26-35,Single,1729818,Commercial,1791739,Pune,Interested in investment,1
+91-8483533885,kingjoseph@example.com,536,26-35,Married with Kids,1918283,Commercial,2677160,Bangalore,Call me ASAP,1
+91-8051996458,lawrencebullock@example.org,787,26-35,Married,594881,Apartment,2109308,Mumbai,Visit after 2 weeks,0
+91-2431015588,teresa35@example.net,305,36-50,Married with Kids,434599,Villa,2361569,Ahmedabad,Interested in investment,0
+91-7198795199,joseph63@example.net,577,26-35,Single,1733797,Apartment,1566796,Noida,Finalizing options this week,1
+91-1267081065,jennifer85@example.org,831,36-50,Married,1787451,Apartment,2781262,Bangalore,Call me ASAP,1
+91-7722482799,davidsharp@example.com,488,26-35,Single,1652794,Apartment,1739777,Bangalore,Just exploring,0
+91-2742746204,carlyschultz@example.com,672,18-25,Married,311396,Villa,2068067,Delhi,Immediate possession preferred,0
+91-6429375714,peterlove@example.net,825,26-35,Married with Kids,566472,Commercial,1732046,Chennai,Not now,0
+91-1466299416,catherine41@example.com,332,18-25,Married,449508,Commercial,2597516,Surat,Budget issue,0
+91-8520646325,joneslisa@example.com,603,51+,Married with Kids,1612257,Plot,1537642,Surat,Call me ASAP,1
+91-8279862473,jdonovan@example.net,536,36-50,Married,1326069,Plot,1040768,Ahmedabad,Need loan info,1
+91-7821815074,dgonzalez@example.com,644,36-50,Single,526085,Plot,1244270,Ahmedabad,Immediate possession preferred,0
+91-4759163820,hhughes@example.org,601,18-25,Married,481482,Apartment,2564000,Noida,Not now,0
+91-777838906,kathleen00@example.org,515,36-50,Single,1191414,Villa,789180,Hyderabad,Please send details,1
+91-1191235049,david16@example.org,529,26-35,Married,901522,Villa,2022954,Surat,Not now,0
+91-257182161,morganclaudia@example.com,471,18-25,Married with Kids,717093,Villa,2575789,Delhi,Not now,0
+91-5515545907,jerrymontgomery@example.net,446,51+,Married with Kids,672317,Apartment,1855915,Chennai,Finalizing options this week,1
+91-7523608307,mary20@example.net,560,51+,Single,777454,Villa,2575858,Bangalore,Call me ASAP,1
+91-6803743630,georgeburch@example.com,339,18-25,Single,1051643,Commercial,1096098,Jaipur,Please send details,1
+91-9462419433,bestchristopher@example.net,467,36-50,Married with Kids,311192,Commercial,573050,Chennai,Budget issue,0
+91-8478634863,pmartinez@example.com,622,26-35,Married with Kids,1926364,Apartment,1418483,Pune,Budget issue,0
+91-949073911,llynch@example.org,763,36-50,Single,1804612,Apartment,2561402,Noida,Need loan info,1
+91-1200317451,allenkyle@example.net,676,36-50,Single,716863,Apartment,2625160,Pune,Urgent visit required,1
+91-7943926613,glewis@example.org,729,26-35,Single,1055973,Plot,768090,Hyderabad,Immediate possession preferred,1
+91-6202504314,jocelyncruz@example.net,834,36-50,Married with Kids,1420113,Villa,2756395,Surat,Immediate possession preferred,1
+91-7519174271,weaverjoseph@example.net,635,18-25,Single,317151,Commercial,862855,Hyderabad,Call me ASAP,0
+91-6406028880,marc78@example.net,838,18-25,Married,530558,Plot,2446406,Delhi,Please send details,0
+91-5177452419,jadeburke@example.net,569,18-25,Married with Kids,460888,Plot,1005126,Ahmedabad,Budget issue,0
+91-7229625864,kristinclark@example.com,718,26-35,Single,1703518,Commercial,1104009,Ahmedabad,Please send details,1
+91-5812231019,john43@example.com,748,18-25,Married,263734,Commercial,522323,Noida,Need loan info,0
+91-8694199134,debbiebrown@example.net,731,36-50,Married with Kids,1425257,Villa,712248,Bangalore,Urgent visit required,1
+91-3436406092,xarmstrong@example.com,815,26-35,Married,1310867,Apartment,2132867,Hyderabad,Visit after 2 weeks,1
+91-4382988867,bramsey@example.org,733,36-50,Married,1331411,Villa,744850,Chennai,Budget issue,1
+91-6173424282,jeremy54@example.com,740,26-35,Married with Kids,767536,Villa,1048275,Surat,Interested in investment,1
+91-679026596,melissanewman@example.net,794,26-35,Married,1073042,Commercial,1576668,Bangalore,Need loan info,1
+91-5933257157,hodgeschristopher@example.org,819,18-25,Single,1806194,Villa,1934387,Jaipur,Urgent visit required,1
+91-8986689848,wrightalicia@example.com,342,36-50,Married with Kids,1327576,Villa,1405683,Noida,Interested in investment,1
+91-1946053267,donald64@example.org,334,51+,Single,1514155,Apartment,2088196,Delhi,Finalizing options this week,1
+91-5278895645,garrett13@example.org,409,51+,Married,504951,Commercial,1538198,Jaipur,Interested in investment,0
+91-2666936960,keithharrison@example.com,662,26-35,Married with Kids,982109,Apartment,527127,Jaipur,Need loan info,1
+91-3843660761,andreali@example.net,614,18-25,Married,836156,Villa,940112,Delhi,Visit after 2 weeks,1
+91-3060289049,mejiajoseph@example.org,597,26-35,Single,1252453,Plot,1444679,Bangalore,Finalizing options this week,1
+91-2293312068,xtran@example.net,773,26-35,Single,769746,Villa,1093919,Mumbai,Please send details,1
+91-768472669,johnsmith@example.org,527,18-25,Married,407268,Villa,643277,Pune,Finalizing options this week,0
+91-7586413913,masonpatricia@example.com,323,26-35,Married with Kids,1526659,Commercial,1837426,Mumbai,Urgent visit required,1
+91-579602009,harrisonmeghan@example.org,495,36-50,Single,1521928,Apartment,2291371,Pune,Please send details,0
+91-7878172281,steven72@example.net,639,26-35,Married,279819,Villa,2739901,Bangalore,Budget issue,0
+91-9061849195,fernandoobrien@example.org,716,51+,Single,994444,Apartment,2703170,Noida,Call me ASAP,1
+91-1621028466,mitchellallison@example.com,562,36-50,Single,993967,Commercial,2802883,Pune,Looking to move soon,1
+91-6550043232,kristin96@example.com,463,51+,Single,823263,Villa,1100864,Noida,Looking to move soon,1
+91-1750964943,cmartinez@example.org,436,36-50,Single,1410367,Villa,773944,Surat,Not now,0
+91-8905258500,meagan19@example.com,777,36-50,Married,907358,Plot,1621010,Jaipur,Looking to move soon,1
+91-5938102736,nathaniel57@example.org,676,26-35,Single,1705587,Villa,1045269,Noida,Just exploring,0
+91-3222562820,ryanlittle@example.org,774,26-35,Married,1074396,Apartment,1008375,Mumbai,Call me ASAP,1
+91-9190564795,randy20@example.org,748,18-25,Married with Kids,629710,Apartment,997977,Surat,Interested in investment,1
+91-8176173243,tommy77@example.com,536,36-50,Single,1680214,Apartment,976900,Noida,Not now,0
+91-3789808025,danderson@example.org,834,51+,Married,1471760,Plot,1147545,Noida,Please send details,1
+91-4070449755,phillipsbrian@example.com,803,26-35,Single,1847541,Plot,2186485,Delhi,Not now,1
+91-8200776330,smiller@example.com,660,36-50,Married,1009443,Apartment,641931,Chennai,Not now,0
+91-6664100137,villamisty@example.com,485,26-35,Married,550850,Villa,2578505,Bangalore,Finalizing options this week,0
+91-4585975622,james82@example.org,718,18-25,Married,457274,Apartment,2921055,Hyderabad,Need loan info,0
+91-4261035185,juliehoffman@example.org,583,36-50,Single,1013873,Plot,1713232,Mumbai,Interested in investment,0
+91-8695949463,crystalwatson@example.com,535,18-25,Married with Kids,1615601,Apartment,894136,Surat,Urgent visit required,1
+91-6027608888,ureed@example.com,824,18-25,Married,1954023,Apartment,1637814,Pune,Please send details,1
+91-1580408536,stephensonkatherine@example.com,715,36-50,Married with Kids,1950569,Commercial,1443051,Pune,Looking to move soon,1
+91-8745223103,lutzeric@example.com,375,18-25,Married with Kids,298338,Commercial,1308503,Bangalore,Call me ASAP,0
+91-7362738619,douglas31@example.net,515,26-35,Married,659370,Apartment,1500225,Chennai,Finalizing options this week,1
+91-5943760313,crobinson@example.com,731,18-25,Single,526576,Apartment,2735802,Chennai,Need loan info,0
+91-570981633,ahudson@example.org,750,36-50,Married,1326392,Apartment,823297,Mumbai,Please send details,1
+91-6735311158,aaronjones@example.org,647,26-35,Married,399419,Villa,2248832,Pune,Just exploring,0
+91-9730281423,obuchanan@example.com,785,36-50,Single,1708888,Apartment,1582305,Delhi,Immediate possession preferred,1
+91-7183812977,millersteve@example.com,469,26-35,Married,1922401,Commercial,1737924,Jaipur,Please send details,1
+91-8501707946,qsosa@example.net,781,26-35,Single,458608,Villa,768132,Noida,Need loan info,0
+91-7150869292,elizabethconley@example.net,750,36-50,Married with Kids,764517,Commercial,1092979,Delhi,Immediate possession preferred,1
+91-3850825248,lisahamilton@example.com,687,18-25,Married,919439,Apartment,698112,Noida,Looking to move soon,1
+91-6480397097,zkaufman@example.org,796,26-35,Married,1752403,Commercial,2575747,Pune,Visit after 2 weeks,1
+91-8002064892,hollowayangela@example.org,435,36-50,Single,501194,Commercial,2483593,Mumbai,Call me ASAP,0
+91-5363288948,saraterry@example.net,753,36-50,Married,1255035,Villa,1771113,Noida,Finalizing options this week,1
+91-5854009954,vbarnes@example.com,354,36-50,Married,1635606,Villa,1733615,Pune,Finalizing options this week,1
+91-348447276,cindyfry@example.net,673,26-35,Single,1083613,Villa,1580273,Noida,Interested in investment,1
+91-3819542354,bsullivan@example.org,674,26-35,Single,1062050,Plot,590429,Surat,Finalizing options this week,1
+91-6074041090,cookmitchell@example.com,408,26-35,Single,1422276,Villa,2028104,Chennai,Interested in investment,1
+91-5307215162,zreilly@example.net,768,51+,Married,1108240,Apartment,1909828,Delhi,Call me ASAP,1
+91-5214213008,satkinson@example.org,424,26-35,Married,1233218,Villa,2761375,Delhi,Just exploring,0
+91-5003183469,carlywatkins@example.org,767,26-35,Single,1152851,Commercial,2406810,Hyderabad,Urgent visit required,1
+91-432330710,hoganalan@example.net,594,51+,Single,1664323,Plot,2109498,Pune,Urgent visit required,1
+91-6135543836,michaellaura@example.net,533,26-35,Married with Kids,1340159,Plot,1349133,Hyderabad,Please send details,1
+91-2783008938,smithgregory@example.org,339,36-50,Married,988566,Apartment,1558502,Ahmedabad,Looking to move soon,1
+91-7918114888,elizabeth10@example.org,797,26-35,Single,1189811,Commercial,1010551,Hyderabad,Interested in investment,1
+91-8129856533,craig91@example.org,411,18-25,Single,1509528,Commercial,1022822,Delhi,Urgent visit required,1
+91-2638670490,kristineprince@example.com,754,18-25,Single,1078588,Villa,833893,Hyderabad,Interested in investment,1
+91-4756841512,christina81@example.net,566,36-50,Married,580063,Plot,2411093,Chennai,Finalizing options this week,0
+91-1221681350,fordmelissa@example.org,521,36-50,Married with Kids,1681303,Plot,709615,Ahmedabad,Need loan info,1
+91-4707800373,hannahjohnson@example.com,791,26-35,Married,612356,Commercial,1863625,Mumbai,Not now,0
+91-2856190108,wpatrick@example.net,540,36-50,Married with Kids,471443,Apartment,880640,Hyderabad,Finalizing options this week,0
+91-5610939962,pbutler@example.com,724,26-35,Married,447063,Plot,2938380,Mumbai,Finalizing options this week,1
+91-7156512292,johnhernandez@example.org,465,36-50,Married with Kids,310996,Commercial,805176,Delhi,Visit after 2 weeks,0
+91-158044711,matthewsdavid@example.org,424,36-50,Married,1004771,Apartment,1741276,Chennai,Urgent visit required,1
+91-8582314129,edwardjones@example.com,702,26-35,Married,985858,Plot,2420125,Surat,Looking to move soon,1
+91-7248727143,jennifergraham@example.org,373,26-35,Single,1148618,Villa,2737613,Surat,Immediate possession preferred,1
+91-3045607582,xdouglas@example.org,662,36-50,Single,1430997,Apartment,1289231,Noida,Visit after 2 weeks,1
+91-1678448660,carl04@example.com,844,18-25,Married with Kids,851693,Plot,2602131,Hyderabad,Visit after 2 weeks,1
+91-6432215734,ubowers@example.com,559,18-25,Married,320047,Commercial,535372,Mumbai,Please send details,0
+91-9993994547,wbarrett@example.net,599,18-25,Single,1002524,Apartment,2178784,Ahmedabad,Not now,0
+91-790110281,stephanieperry@example.com,739,36-50,Single,1871784,Villa,1423371,Noida,Finalizing options this week,1
+91-1436908247,hensonjohn@example.net,369,18-25,Married with Kids,757060,Apartment,1927569,Bangalore,Budget issue,0
+91-9458614861,roberttownsend@example.net,585,36-50,Married,1624317,Apartment,2878887,Chennai,Please send details,0
+91-6935843605,aaron78@example.org,323,36-50,Single,1660598,Commercial,2584166,Ahmedabad,Looking to move soon,1
+91-906503386,erin84@example.net,843,36-50,Single,1858237,Villa,978018,Bangalore,Call me ASAP,1
+91-5139619911,gibsonjennifer@example.net,344,18-25,Single,1590852,Villa,1482392,Mumbai,Interested in investment,1
+91-9836305252,vwilliams@example.org,430,26-35,Single,591228,Plot,1219484,Surat,Finalizing options this week,0
+91-3400919539,agallegos@example.com,614,36-50,Married with Kids,945747,Apartment,2808119,Jaipur,Budget issue,0
+91-2537868976,pbaker@example.org,548,26-35,Single,1888702,Commercial,1093413,Hyderabad,Interested in investment,1
+91-3507855562,ralph08@example.org,484,36-50,Married,1486991,Plot,2043889,Jaipur,Budget issue,0
+91-174135798,aallen@example.com,647,26-35,Single,1576498,Villa,2247923,Bangalore,Visit after 2 weeks,1
+91-7745045001,usmith@example.net,804,36-50,Married,443628,Apartment,656551,Mumbai,Just exploring,0
+91-7679375040,crawfordbetty@example.net,426,18-25,Married with Kids,1431305,Plot,2889441,Delhi,Just exploring,0
+91-8543880001,gregory30@example.net,398,51+,Married with Kids,686232,Apartment,2099020,Noida,Looking to move soon,1
+91-1844690554,deborah70@example.org,806,26-35,Single,1325318,Commercial,737219,Hyderabad,Looking to move soon,1
+91-1108931441,emily62@example.com,845,51+,Married,664466,Villa,935606,Chennai,Not now,1
+91-9466508752,michaelhubbard@example.com,755,36-50,Married,1518120,Plot,1747718,Bangalore,Just exploring,1
